,season,player_id,player_name,position,team,conference,overall_incl_gt,pass_incl_gt,rush_incl_gt,firstDown_incl_gt,secondDown_incl_gt,thirdDown_incl_gt,standardDowns_incl_gt,passingDowns_incl_gt,overall_excl_gt,pass_excl_gt,rush_excl_gt,firstDown_excl_gt,secondDown_excl_gt,thirdDown_excl_gt,standardDowns_excl_gt,passingDowns_excl_gt,last_updated
440,2019,4373318,V'Lique Carter,WR,Pittsburgh,ACC,0.1163,0.0595,0.1884,0.1095,0.133,0.105,0.13,0.091,0.1163,0.0595,0.1884,0.1095,0.133,0.105,0.13,0.091,2019-11-12 22:50:18
441,2019,4241802,Jalen Reagor,WR,TCU,Big 12,0.1158,0.2,0.0377,0.1082,0.127,0.114,0.099,0.153,0.1158,0.2,0.0377,0.1082,0.127,0.114,0.099,0.153,2019-11-12 22:50:18
442,2019,4039000,Aaron Fuller,WR,Washington,Pac-12,0.1154,0.2247,0.0,0.0766,0.138,0.157,0.083,0.193,0.1154,0.2247,0.0,0.0766,0.138,0.157,0.083,0.193,2019-11-12 22:50:18
443,2019,4360406,Mataeo Durant,RB,Duke,ACC,0.1148,0.0733,0.1573,0.1272,0.128,0.086,0.126,0.091,0.1148,0.0733,0.1573,0.1272,0.128,0.086,0.126,0.091,2019-11-12 22:50:18
444,2019,246044,Tyler Johnson,WR,Minnesota,Big Ten,0.1148,0.3054,0.0083,0.1034,0.136,0.113,0.103,0.144,0.1148,0.3054,0.0083,0.1034,0.136,0.113,0.103,0.144,2019-11-12 22:50:18
445,2019,4240895,Jhamon Ausbon,WR,Texas A&M,SEC,0.1147,0.2091,0.0,0.1028,0.112,0.149,0.102,0.145,0.1147,0.2091,0.0,0.1028,0.112,0.149,0.102,0.145,2019-11-12 22:50:18
446,2019,4035691,Matt Fink,QB,USC,Pac-12,0.1146,0.1804,0.0223,0.0828,0.121,0.18,0.083,0.206,0.1146,0.1804,0.0223,0.0828,0.121,0.18,0.083,0.206,2019-11-12 22:50:18
447,2019,3912511,Charlie Booker,RB,Rice,Conference USA,0.1145,0.0126,0.2077,0.1185,0.133,0.087,0.137,0.077,0.1145,0.0126,0.2077,0.1185,0.133,0.087,0.137,0.077,2019-11-12 22:50:18
448,2019,4373937,JoJo Ward,WR,Hawai'i,Mountain West,0.1145,0.1782,0.0,0.1383,0.113,0.051,0.132,0.071,0.1145,0.1782,0.0,0.1383,0.113,0.051,0.132,0.071,2019-11-12 22:50:18
449,2019,4243539,Noah Vedral,QB,Nebraska,Big Ten,0.1141,0.1798,0.0681,0.0864,0.119,0.16,0.095,0.157,0.1141,0.1798,0.0681,0.0864,0.119,0.16,0.095,0.157,2019-11-12 22:50:18
450,2019,4040553,Anthony D. Taylor,RB,Texas State,Sun Belt,0.1131,0.0435,0.2289,0.0995,0.137,0.111,0.112,0.114,0.1131,0.0435,0.2289,0.0995,0.137,0.111,0.112,0.114,2019-11-12 22:50:18
451,2019,3918448,OJ Clark,WR,New Mexico State,FBS Independents,0.1129,0.1824,0.0,0.1014,0.097,0.157,0.087,0.161,0.1129,0.1824,0.0,0.1014,0.097,0.157,0.087,0.161,2019-11-12 22:50:18
